test two (no prop),,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        time interval,,avergae voltage(mv),,       amp used,,voltage stated,,amperage,,,,,,,,,,,test two (prop),,1200(20%),,,,,,,,,,,,,,,,,,,,,,,,test two (prop),,1300(30%),,,,,
3,,30.5,,243,,24.88,,,,,,,,,,,,,total time,,46:51:00,,,,,,,,,,,,,,,,,,,,,,,,total time,,26:29:00,,,,,
6,,31.5,,335,,24.78,,1.645,,,,,,,,,,,        time interval,,amp drawn (mah),,voltage stated (v),,amperage(A),,,,,,,,,,,,,,,,,,,,        time interval,,amp drawn (mah),,voltage stated (v),,amperage(A),
9,,32.4,,412,,24.72,,1.585,,,,,,,,,,,3,,442,,24.32,,4.92,,,,,,,,,,,,,,,,,,,,3,,345,,23.98,,11.975,
12,,32.6,,490,,24.64,,1.595,,,,,,,,,,,6,,690,,24,,4.735,,,,,,,,,,,,,,,,,,,,6,,943,,23.2,,11.27,
15,,33.1,,567,,24.57,,1.56,,,,,,,,,,,9,,924,,23.55,,4.75,,,,,,,,,,,,,,,,,,,,9,,1491,,22.72,,10.9,
18,,32.8,,649,,24.43,,1.52,,,,,,,,,,,12,,1164,,23.28,,4.61,,,,,,,,,,,,,,,,,,,,12,,2026,,22.29,,10.55,
21,,31.7,,727,,24.38,,1.57,,,,,,,,,,,15,,1400,,23.15,,4.595,,,,,,,,,,,,,,,,,,,,15,,2553,,22.14,,10.4,
24,,32.1,,809,,24.35,,1.57,,,,,,,,,,,18,,1633,,22.92,,4.585,,,,,,,,,,,,,,,,,,,,18,,3071,,21.95,,10.25,
27,,31.7,,887,,24.29,,1.585,,,,,,,,,,,21,,1877,,22.75,,4.485,,,,,,,,,,,,,,,,,,,,21,,3565,,21.58,,10,
30,,,,971,,24.19,,1.56,,,,,,,,,,,24,,2076,,22.59,,4.385,,,,,,,,,,,,,,,,,,,,24,,3990,,9.66,,3.72,
33,,,,,,,,,,,,,,,,,,,27,,2322,,22.45,,4.35,,,,,,,,,,,,,,,,,,,,26.5,,4047,,6.23,,0.15,
36,,,,,,,,,,,,,,,,,,,30,,2530,,22.37,,4.345,,,,,,,,,,,,,,,,,,,,30,,,,,,,
39,,,,,,,,,,,,,,,,,,,33,,2745,,22.29,,4.36,,,,,,,,,,,,,,,,,,,,33,,,,,,,
42,,,,,,,,,,,,,,,,,,,36,,2974,,22.4,,4.41,,,,,,,,,,,,,,,,,,,,36,,,,,,,
45,,,,,,,,,,,,,,,,,,,30%  39,,3362,,21.84,,10.245,,,,,,,,,,,,,,,,,,,,39,,,,,,,
48,,,,,,,,,,,,,,,,,,,42,,3867,,21.03,,9.51,,,,,,,,,,,,,,,,,,,,42,,,,,,,
51,,,,,,,,,,,,,,,,,,,45,,4171,,6.93,,1.07,,,,,,,,,,,,,,,,,,,,45,,,,,,,
54,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,
57,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,
60,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,
,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,
,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,43,began to slow down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4117,11,,,,,,,,,,,,,,,,,,,,,,,,23 startting to slow down,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,46,stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4193,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
